date,React,Vue,Angular,Svelte,Ember,Backbone,Meteor,Knockout,Alpine.js,Solid,Preact,Lit,Qwik,Hyperapp,Dojo
2020-02-02,61,82,89,33,55,33,10,15,0,68,54,52,13,0,32
2020-02-09,63,88,92,34,54,33,13,16,0,66,60,52,13,0,31
2020-02-16,61,100,96,35,52,30,11,20,41,69,51,51,15,0,25
2020-02-23,65,81,93,33,59,33,11,25,27,69,53,52,15,0,31
2020-03-01,66,72,91,30,60,29,12,17,66,69,54,51,14,0,32
2020-03-08,58,62,83,30,52,29,13,17,29,62,50,46,12,78,31
2020-03-15,51,48,80,28,53,27,18,12,0,58,35,38,13,0,66
2020-03-22,55,37,72,29,62,27,17,13,0,60,36,41,12,0,90
2020-03-29,57,37,77,32,64,34,26,15,0,67,47,45,10,0,100
2020-04-05,59,39,78,37,62,30,20,16,0,70,44,48,11,74,70
2020-04-12,59,39,79,32,62,32,22,17,0,69,43,51,12,0,69
2020-04-19,62,39,81,37,60,35,76,21,0,79,45,52,12,55,83
2020-04-26,67,39,76,37,63,35,25,21,58,75,40,55,12,76,74
2020-05-03,66,41,79,37,64,33,53,21,0,76,41,56,12,0,63
2020-05-10,66,42,84,34,71,33,18,23,32,76,44,57,14,0,61
2020-05-17,62,43,82,37,65,35,16,19,27,76,40,57,14,0,54
2020-05-24,68,43,77,38,59,31,22,18,33,71,37,54,13,0,38
2020-05-31,64,46,80,35,61,32,17,17,0,71,46,59,13,54,40
2020-06-07,60,46,76,34,63,33,15,23,32,73,36,55,13,0,35
2020-06-14,60,45,78,33,61,30,15,17,28,73,36,53,11,0,33
2020-06-21,61,45,84,33,56,31,14,17,0,72,42,50,15,0,27
2020-06-28,62,48,74,34,56,31,14,17,0,71,36,55,14,96,22
2020-07-05,61,50,88,33,55,31,14,14,0,71,45,54,14,57,20
2020-07-12,64,48,80,34,54,32,17,17,27,71,41,59,16,55,20
2020-07-19,66,50,83,41,57,30,17,16,0,71,45,54,14,55,17
2020-07-26,62,50,77,37,56,31,23,20,0,70,37,58,15,0,18
2020-08-02,62,49,73,35,55,29,19,27,0,68,35,53,14,0,24
2020-08-09,60,48,73,36,55,32,72,28,35,69,44,57,14,0,38
2020-08-16,59,52,75,34,52,31,17,25,0,72,41,58,16,0,56
2020-08-23,60,60,76,35,53,31,15,24,26,74,40,56,15,0,63
2020-08-30,61,55,77,36,58,35,14,18,0,80,48,58,15,59,75
2020-09-06,62,53,76,34,53,36,14,21,0,83,38,58,14,54,74
2020-09-13,64,52,77,33,58,37,14,18,27,91,42,56,14,69,74
2020-09-20,61,52,77,34,57,40,13,17,0,90,42,54,13,0,66
2020-09-27,54,49,70,32,57,38,14,19,31,83,38,56,14,0,50
2020-10-04,56,47,71,41,59,38,18,15,0,87,32,56,14,0,46
2020-10-11,50,46,63,28,57,35,12,26,47,84,31,54,14,0,33
2020-10-18,48,46,66,33,51,34,24,18,0,80,28,56,14,0,30
2020-10-25,45,46,62,31,50,37,15,15,37,81,21,59,14,0,24
2020-11-01,43,35,62,27,52,33,25,16,0,74,23,56,13,0,26
2020-11-08,47,35,63,29,55,33,25,14,0,77,32,68,14,0,27
2020-11-15,48,35,62,30,59,32,30,16,0,78,27,70,14,0,28
2020-11-22,48,33,61,27,68,32,16,20,0,79,23,75,15,0,22
2020-11-29,48,36,65,29,75,33,20,51,0,82,34,76,15,0,27
2020-12-06,49,39,64,27,71,31,23,20,0,79,25,62,15,0,26
2020-12-13,48,37,61,25,71,35,43,19,37,75,28,56,15,0,23
2020-12-20,42,31,49,30,68,29,18,15,0,61,26,54,13,0,10
2020-12-27,37,31,42,26,70,27,18,16,0,64,18,64,12,0,10
2021-01-03,45,32,55,31,63,29,18,14,31,74,26,58,12,0,41
2021-01-10,49,34,59,36,60,32,14,12,26,77,27,58,13,0,44
2021-01-17,50,35,62,37,59,33,15,12,28,78,25,59,14,0,41
2021-01-24,51,34,60,35,58,33,14,43,0,78,34,62,12,0,38
2021-01-31,50,37,68,34,60,34,15,13,0,70,39,61,11,0,39
2021-02-07,45,33,64,31,58,32,14,14,0,75,31,55,13,0,35
2021-02-14,46,34,64,35,57,31,15,16,0,75,29,57,13,0,18
2021-02-21,50,38,66,31,59,34,18,23,0,80,36,54,15,0,37
2021-02-28,51,39,63,35,58,36,19,15,35,78,37,53,14,0,31
2021-03-07,51,39,65,33,57,33,16,16,35,80,33,53,13,0,24
2021-03-14,51,40,70,34,61,35,16,16,27,79,27,53,14,0,26
2021-03-21,51,38,64,33,56,31,19,17,0,82,29,52,13,0,27
2021-03-28,55,39,60,33,55,32,15,40,0,72,24,49,14,0,18
2021-04-04,47,37,65,37,58,31,14,29,31,75,31,53,15,0,16
2021-04-11,50,39,62,36,56,32,16,20,0,77,34,50,13,0,20
2021-04-18,50,41,65,32,57,32,27,29,0,80,24,52,12,0,23
2021-04-25,51,41,64,34,55,31,14,39,0,77,24,51,14,0,23
2021-05-02,49,40,63,32,56,34,18,23,42,80,26,53,14,0,22
2021-05-09,50,46,62,34,52,32,13,23,38,73,26,53,14,0,22
2021-05-16,50,63,66,35,54,31,12,43,0,74,28,52,12,0,23
2021-05-23,51,64,63,32,53,31,13,82,0,71,34,46,13,0,23
2021-05-30,49,62,64,32,56,32,13,53,0,71,29,47,13,0,19
2021-06-06,49,57,66,34,57,36,14,39,29,71,24,44,15,0,21
2021-06-13,48,56,66,31,52,41,13,36,51,67,22,47,12,0,19
2021-06-20,48,61,63,36,52,62,12,57,0,71,26,49,15,0,19
2021-06-27,48,56,62,31,51,36,13,42,0,66,26,52,14,0,18
2021-07-04,49,61,66,34,50,32,13,22,37,68,25,53,12,0,17
2021-07-11,51,56,63,32,52,34,16,23,0,71,28,51,15,0,18
2021-07-18,51,57,62,36,57,34,16,19,0,69,30,52,14,0,16
2021-07-25,50,66,62,33,55,32,24,19,0,72,28,54,15,0,14
2021-08-01,48,65,59,33,57,30,18,18,0,70,27,55,15,0,14
2021-08-08,49,63,61,37,54,30,59,19,0,68,21,52,16,0,16
2021-08-15,50,67,59,34,55,31,17,15,30,65,28,57,14,0,20
2021-08-22,49,57,61,35,53,33,13,17,0,75,27,57,16,0,22
2021-08-29,47,59,63,34,56,32,13,17,0,68,24,55,17,0,26
2021-09-05,51,56,65,35,52,34,13,18,0,70,31,55,14,0,29
2021-09-12,53,58,68,35,54,37,12,17,32,79,28,56,15,0,30
2021-09-19,52,57,70,33,58,35,12,16,31,79,29,54,15,0,27
2021-09-26,52,69,68,35,56,36,12,17,38,76,30,57,17,0,26
